new_order,payment,order_status,delivery,stock_level,total_time
0.703896,0.127869,0.077446,0.281505,0.106332,1.2970480000000002
0.576625,0.076397,0.076475,0.227674,0.113637,1.070808
0.546708,0.080768,0.069657,0.210186,0.109524,1.016843
0.605162,0.068016,0.064422,0.212327,0.101927,1.051854
0.573235,0.075093,0.079133,0.203012,0.085863,1.016336
0.575288,0.064516,0.06867,0.21915,0.073654,1.0012780000000001
0.612723,0.070252,0.073277,0.194047,0.103408,1.053707
0.541701,0.101203,0.075707,0.198733,0.071736,0.98908
0.616531,0.069379,0.113139,0.203183,0.094413,1.096645
0.600723,0.079271,0.060714,0.196688,0.084267,1.021663
0.55722,0.088463,0.164193,0.236941,0.069817,1.1166340000000001
0.566292,0.100188,0.064861,0.206632,0.105227,1.0432000000000001
0.559111,0.075012,0.070947,0.261819,0.095032,1.061921
0.57477,0.073978,0.092549,0.194956,0.096925,1.033178
0.543828,0.072354,0.066419,0.213302,0.075341,0.971244
0.58663,0.104102,0.069295,0.203186,0.096496,1.059709
0.568488,0.080324,0.073713,0.221577,0.085685,1.029787
0.564399,0.067999,0.081253,0.205884,0.06564,0.985175
0.545616,0.08141,0.065099,0.205076,0.068952,0.966153
0.613474,0.106871,0.070847,0.217281,0.068057,1.07653
0.607736,0.078667,0.102831,0.232633,0.088851,1.110718
0.579034,0.067703,0.071212,0.220458,0.080437,1.018844
0.505688,0.073396,0.076385,0.222439,0.086477,0.9643850000000002
0.532937,0.07442,0.078018,0.229554,0.072065,0.9869940000000001
0.568021,0.082289,0.086388,0.225064,0.081665,1.043427
0.59154,0.073856,0.067609,0.218504,0.081609,1.033118
0.526799,0.071927,0.061918,0.215829,0.072032,0.948505
0.554192,0.0747,0.08029,0.18996,0.07466,0.9738020000000001
0.59242,0.073649,0.064224,0.20564,0.063536,0.9994689999999999
0.58946,0.069318,0.076877,0.196241,0.063591,0.9954869999999999
0.548469,0.076689,0.079236,0.208656,0.073384,0.9864339999999999
0.548497,0.067292,0.109381,0.19689,0.068217,0.9902770000000001
0.567613,0.092525,0.073058,0.209399,0.064059,1.006654
0.516955,0.088068,0.060538,0.184935,0.086247,0.936743
0.578982,0.067218,0.0631,0.191663,0.073551,0.9745140000000001
0.579968,0.078348,0.06212,0.20888,0.088649,1.017965
0.545779,0.066768,0.100462,0.203129,0.072205,0.988343
0.541363,0.067021,0.079332,0.207315,0.064631,0.959662
0.522634,0.072365,0.062796,0.215392,0.066701,0.9398880000000001
0.55396,0.07637,0.063602,0.20753,0.090036,0.9914980000000001
0.598757,0.084692,0.073222,0.197966,0.073078,1.027715
0.536428,0.069752,0.062326,0.196884,0.088322,0.9537120000000001
0.574514,0.070288,0.096765,0.224488,0.124953,1.091008
0.535915,0.072194,0.060306,0.200156,0.07786,0.946431
0.556758,0.107476,0.088636,0.230136,0.061926,1.044932
0.530949,0.065931,0.120065,0.221109,0.063643,1.001697
0.547216,0.070285,0.117719,0.234687,0.077723,1.04763
0.571818,0.069529,0.065364,0.23363,0.08855,1.028891
0.599699,0.074453,0.087429,0.202388,0.069054,1.033023
0.569663,0.06611,0.163992,0.217772,0.062805,1.0803420000000001
0.548667,0.101937,0.070122,0.219334,0.076929,1.016989
0.529378,0.075476,0.06563,0.225801,0.060802,0.957087
0.570339,0.065042,0.06866,0.186902,0.095791,0.9867340000000001
0.566093,0.066603,0.07482,0.199104,0.071348,0.977968
0.547905,0.078728,0.077044,0.187841,0.070407,0.961925
0.555814,0.064787,0.072544,0.214205,0.081941,0.9892910000000001
0.560333,0.182559,0.075796,0.200872,0.072893,1.0924530000000001
0.614587,0.073295,0.068423,0.21806,0.090044,1.064409
0.560968,0.068149,0.103707,0.249247,0.108081,1.090152
0.587813,0.086713,0.067692,0.21179,0.068963,1.022971
0.538168,0.078757,0.065919,0.189164,0.069611,0.941619
0.558184,0.072739,0.069664,0.192688,0.067193,0.9604680000000001
