new_order,payment,order_status,delivery,stock_level,total_time
0.161761,0.039309,0.016504,0.131582,0.032839,0.381995
0.126121,0.024494,0.016181,0.149646,0.029571,0.346013
0.104671,0.026522,0.020805,0.150602,0.027211,0.32981099999999997
0.120857,0.020257,0.015193,0.155308,0.023021,0.33463600000000004
0.109653,0.064913,0.015449,0.133637,0.02732,0.350972
0.110095,0.019788,0.015465,0.145064,0.025528,0.31594
0.116996,0.018923,0.014847,0.130802,0.016264,0.29783200000000004
0.105573,0.023694,0.029891,0.105057,0.013874,0.278089
0.100499,0.025016,0.018132,0.155583,0.041735,0.340965
0.10404,0.02331,0.014822,0.138586,0.024833,0.30559099999999995
0.112478,0.032074,0.018838,0.230545,0.276707,0.670642
0.190428,0.032279,0.045445,0.153106,0.026035,0.447293
0.124219,0.024142,0.014896,0.160856,0.019092,0.343205
0.106129,0.020366,0.021357,0.141708,0.0226,0.31216
0.120617,0.030681,0.028544,0.138616,0.022994,0.34145200000000003
0.108163,0.025787,0.018692,0.139223,0.016621,0.30848600000000004
0.109471,0.025735,0.043992,0.132087,0.013493,0.324778
0.11797,0.023385,0.018275,0.126276,0.013488,0.299394
0.112009,0.022768,0.018395,0.122205,0.022102,0.297479
0.125943,0.021417,0.013891,0.164974,0.015947,0.342172
0.098466,0.023145,0.013503,0.136878,0.012734,0.28472600000000003
0.116538,0.05005,0.013742,0.121623,0.019956,0.321909
0.13923,0.025395,0.025258,0.148107,0.022116,0.36010600000000004
0.126643,0.025401,0.021389,0.118022,0.020861,0.31231600000000004
0.12515,0.020298,0.01628,0.299347,0.011356,0.472431
0.098005,0.018141,0.013483,0.130972,0.014492,0.275093
0.102942,0.017298,0.018709,0.137074,0.012639,0.28866200000000003
0.112157,0.022509,0.024783,0.151786,0.01856,0.32979500000000006
0.099375,0.022648,0.013826,0.123652,0.014356,0.27385699999999996
0.098103,0.022254,0.024373,0.110074,0.014546,0.26935000000000003
0.104894,0.02816,0.026447,0.114569,0.016295,0.29036500000000004
0.134696,0.025237,0.013561,0.159967,0.015326,0.348787
0.107557,0.031816,0.024542,0.12321,0.010805,0.29793000000000003
0.108231,0.023159,0.018926,0.159045,0.013758,0.323119
0.115083,0.027662,0.016088,0.160198,0.017142,0.336173
0.128701,0.025491,0.018499,0.119411,0.020162,0.312264
0.096067,0.031517,0.019281,0.131209,0.013218,0.291292
