new_order,payment,order_status,delivery,stock_level,total_time
0.193212,0.035343,0.020666,0.139194,0.014243,0.402658
0.11095,0.023046,0.014959,0.121069,0.015932,0.285956
0.108409,0.023919,0.018113,0.121827,0.013513,0.285781
0.112869,0.025612,0.018726,0.12601,0.012752,0.295969
0.096717,0.022424,0.020482,0.131177,0.013162,0.283962
0.131006,0.018702,0.01774,0.110803,0.014583,0.29283400000000004
0.100179,0.020757,0.012697,0.125242,0.011029,0.269904
0.095684,0.023324,0.013694,0.100187,0.015794,0.24868300000000002
0.129045,0.020966,0.023344,0.13101,0.012287,0.316652
0.094264,0.017946,0.030424,0.114631,0.015589,0.27285400000000004
0.111518,0.019144,0.012839,0.134743,0.011858,0.29010199999999997
0.109679,0.029511,0.015336,0.207835,0.026452,0.38881299999999996
0.109379,0.017669,0.02098,0.115966,0.013254,0.277248
0.098638,0.021508,0.015294,0.123314,0.014979,0.273733
0.098871,0.021388,0.012776,0.132004,0.013677,0.278716
0.099698,0.02611,0.013483,0.123325,0.012511,0.275127
0.104347,0.016391,0.018749,0.116814,0.011966,0.268267
0.099677,0.017093,0.012877,0.092887,0.012081,0.23461500000000002
0.110224,0.029983,0.012787,0.133107,0.01188,0.297981
0.093205,0.022532,0.012831,0.104992,0.011254,0.24481399999999998
0.093591,0.01681,0.01843,0.138292,0.214162,0.48128499999999996
0.14659,0.01746,0.01318,0.118658,0.013702,0.30959
0.109126,0.020202,0.012794,0.099328,0.010758,0.252208
0.110025,0.025099,0.015445,0.125486,0.010259,0.286314
0.106768,0.016567,0.02126,0.108412,0.010937,0.26394399999999996
0.103713,0.016804,0.015724,0.101238,0.014447,0.251926
0.100915,0.022218,0.012625,0.104491,0.010201,0.25045
0.101198,0.019407,0.015257,0.108588,0.016443,0.260893
0.106604,0.016466,0.012222,0.10279,0.016028,0.25411
0.099906,0.019555,0.03199,0.106309,0.019144,0.276904
0.137773,0.027535,0.015459,0.108453,0.015747,0.30496700000000004
0.120757,0.022974,0.015473,0.102945,0.011124,0.27327300000000004
0.107717,0.017402,0.019003,0.108321,0.010561,0.26300399999999996
0.102293,0.017349,0.012949,0.091772,0.013366,0.23772899999999997
0.106222,0.022527,0.018124,0.121766,0.014053,0.282692
0.127805,0.01918,0.0146,0.130822,0.01251,0.304917
0.134621,0.019564,0.022699,0.108068,0.01218,0.297132
0.133692,0.023983,0.015295,0.116001,0.01997,0.308941
0.126959,0.021746,0.015481,0.126053,0.012615,0.30285399999999996
0.109132,0.017999,0.015112,0.14551,0.01184,0.29959300000000005
0.116022,0.01763,0.015335,0.168798,0.02509,0.342875
0.110573,0.020032,0.01512,0.114999,0.013894,0.27461800000000003
0.110309,0.017136,0.013139,0.112929,0.011112,0.264625
0.101237,0.017242,0.012652,0.107815,0.011346,0.250292
0.113075,0.019262,0.01289,0.131096,0.009883,0.28620599999999996
0.101943,0.017039,0.013202,0.107578,0.014396,0.254158
0.106946,0.023191,0.015168,0.124667,0.010706,0.280678
0.129671,0.019477,0.015875,0.158805,0.011538,0.335366
0.115198,0.017672,0.018584,0.134831,0.011612,0.297897
0.12411,0.020809,0.015193,0.139074,0.009718,0.308904
0.116838,0.027039,0.017641,0.135676,0.013582,0.31077599999999994
0.172091,0.022892,0.015403,0.115854,0.013388,0.339628
0.126984,0.023806,0.017543,0.124433,0.015319,0.30808500000000005
0.165588,0.028656,0.015445,0.111565,0.008843,0.33009700000000003
0.108148,0.020537,0.018447,0.113355,0.012907,0.27339399999999997
0.11194,0.025834,0.017367,0.103616,0.013796,0.272553
0.113348,0.01701,0.013069,0.139965,0.013392,0.296784
0.106036,0.019548,0.014922,0.103397,0.010544,0.254447
0.102401,0.017021,0.012958,0.10705,0.010067,0.249497
0.112965,0.028082,0.014205,0.102126,0.011406,0.268784
0.107319,0.017056,0.014825,0.13842,0.011381,0.28900099999999995
0.102287,0.027273,0.017939,0.113509,0.015854,0.276862
0.117973,0.017161,0.023715,0.116068,0.009875,0.28479200000000005
0.100614,0.025202,0.014432,0.11644,0.010966,0.26765399999999995
0.109727,0.016381,0.012898,0.112211,0.013404,0.264621
0.105303,0.022166,0.013105,0.109516,0.009226,0.25931600000000005
0.099475,0.016654,0.01276,0.115021,0.011518,0.255428
0.109576,0.015746,0.024343,0.116312,0.014193,0.28017000000000003
0.125822,0.021906,0.018498,0.118786,0.014599,0.29961099999999996
0.101283,0.017625,0.013162,0.096782,0.011573,0.240425
0.119374,0.022234,0.015047,0.108298,0.016659,0.281612
0.123561,0.024529,0.024477,0.108918,0.015797,0.297282
0.13091,0.017725,0.027218,0.106838,0.013862,0.29655299999999996
0.095339,0.017693,0.015661,0.10568,0.01072,0.245093
0.110651,0.020073,0.01542,0.153819,0.010711,0.310674
0.106174,0.020844,0.015655,0.134794,0.011304,0.288771
0.111678,0.017286,0.015224,0.089969,0.011695,0.245852
0.106648,0.017694,0.016479,0.102701,0.010923,0.25444500000000003
0.095366,0.019061,0.015619,0.114478,0.011652,0.256176
0.09316,0.016426,0.019045,0.420181,0.138824,0.6876360000000001
0.125745,0.017461,0.013174,0.125259,0.012767,0.29440599999999995
0.094159,0.017235,0.019065,0.114406,0.009656,0.254521
0.099363,0.016615,0.015637,0.116415,0.010817,0.25884700000000005
0.110722,0.019605,0.012917,0.090949,0.011298,0.24549100000000001
0.107016,0.01976,0.016545,0.126024,0.017963,0.287308
0.0992,0.019872,0.013174,0.109361,0.010273,0.25188
0.114289,0.017195,0.016375,0.12192,0.012043,0.281822
0.096385,0.018708,0.01498,0.1054,0.014837,0.25031
0.130226,0.017527,0.013067,0.123002,0.013287,0.297109
0.096974,0.017366,0.01657,0.112009,0.01057,0.253489
0.098882,0.017586,0.01546,0.119419,0.010118,0.261465
0.09845,0.016503,0.026552,0.104843,0.014848,0.261196
0.095344,0.020398,0.012855,0.097912,0.016047,0.242556
0.131823,0.027441,0.015576,0.095369,0.014741,0.28495
0.129641,0.023932,0.01524,0.12647,0.011669,0.306952
0.10156,0.016327,0.015235,0.110757,0.010418,0.254297
0.099832,0.020177,0.013386,0.144336,0.012755,0.290486
0.117416,0.01938,0.013003,0.098178,0.010937,0.258914
0.114816,0.019567,0.016598,0.113414,0.011655,0.27605
0.106166,0.019506,0.015436,0.125338,0.00925,0.275696
