new_order,payment,order_status,delivery,stock_level,total_time
0.599879,0.114809,0.063369,0.278183,0.107897,1.164137
0.464552,0.065358,0.06107,0.207428,0.084446,0.882854
0.487356,0.078759,0.058949,0.234156,0.094268,0.9534880000000001
0.494708,0.077898,0.05966,0.204949,0.101774,0.9389890000000001
0.515608,0.064403,0.058789,0.199516,0.080717,0.919033
0.458485,0.063235,0.057846,0.225396,0.081785,0.886747
0.527843,0.099367,0.091381,0.206373,0.087952,1.012916
0.487473,0.098777,0.057108,0.212601,0.075102,0.931061
0.463053,0.081014,0.067246,0.230151,0.0816,0.923064
0.482544,0.070466,0.093043,0.20869,0.083223,0.9379660000000001
0.472123,0.063826,0.058934,0.207997,0.065695,0.8685750000000001
0.504035,0.072642,0.059127,0.211819,0.062475,0.9100980000000001
0.521357,0.073117,0.058718,0.205517,0.064749,0.9234579999999999
0.538083,0.085036,0.09152,0.197929,0.072667,0.9852350000000001
0.516094,0.064797,0.062634,0.193787,0.058413,0.8957250000000001
0.51125,0.063994,0.066929,0.201548,0.062202,0.9059229999999999
0.512273,0.100852,0.093702,0.215933,0.074377,0.9971369999999999
0.469387,0.064286,0.058468,0.214663,0.087281,0.8940849999999998
0.51744,0.097681,0.094484,0.202819,0.073993,0.986417
0.489724,0.078062,0.074461,0.222254,0.072044,0.936545
0.525828,0.083047,0.075908,0.192145,0.072066,0.9489939999999999
0.487456,0.07526,0.071418,0.263785,0.085315,0.9832339999999999
0.500042,0.098088,0.071466,0.203495,0.066453,0.9395439999999999
0.503053,0.080421,0.063439,0.225594,0.069533,0.9420399999999999
0.51695,0.067006,0.062411,0.194671,0.07246,0.913498
0.472849,0.069187,0.065227,0.238659,0.091749,0.937671
0.529791,0.064589,0.058044,0.205413,0.068197,0.9260339999999999
0.464279,0.062525,0.056955,0.260872,0.077153,0.921784
0.485685,0.063088,0.06532,0.224921,0.061408,0.9004220000000001
0.493508,0.076832,0.058396,0.265135,0.151848,1.045719
0.485603,0.074636,0.058749,0.202126,0.070862,0.8919760000000001
0.507434,0.061662,0.057986,0.188973,0.068939,0.884994
0.485135,0.076375,0.058382,0.214974,0.064387,0.899253
0.541131,0.061967,0.058068,0.413051,0.062207,1.1364239999999999
0.461017,0.065048,0.059851,0.212348,0.059201,0.8574649999999999
0.523304,0.092015,0.058209,0.203588,0.06997,0.9470859999999999
0.495129,0.062508,0.070347,0.208164,0.075201,0.911349
0.476186,0.098931,0.064937,0.201731,0.065648,0.907433
0.469439,0.063802,0.057598,0.201017,0.068108,0.859964
0.462737,0.069279,0.058677,0.204567,0.072321,0.867581
0.487493,0.076598,0.064541,0.248979,0.0887,0.9663109999999999
0.486577,0.063652,0.059098,0.197616,0.061847,0.86879
0.458018,0.077589,0.064507,0.193532,0.062758,0.8564039999999999
0.488304,0.063387,0.058326,0.193274,0.064967,0.868258
0.457424,0.063468,0.153035,0.244814,0.075302,0.994043
0.507838,0.097388,0.09348,0.31943,0.165863,1.1839990000000002
0.515665,0.080881,0.065272,0.207268,0.067304,0.9363900000000001
0.53666,0.071385,0.058894,0.206094,0.060523,0.933556
